City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port alfred,-33.5906,26.891,21.77,81,100,0.89,ZA,1680479485
84,khatanga,71.9667,102.5,-13.81,95,100,4.8,RU,1680479485
85,namie,37.4833,141.0,12.06,68,100,4.55,JP,1680479486
86,sao joao do paraiso,-15.3136,-42.0144,24.88,47,70,5.37,BR,1680479486
87,nantucket,41.2835,-70.0995,6.06,47,0,5.14,US,1680479256
88,santa cruz,-17.8,-63.1667,29.03,70,20,3.09,BO,1680479486
89,hami,42.8,93.45,1.31,28,51,6.26,CN,1680479486
90,mayumba,-3.432,10.6554,26.73,85,73,3.56,GA,1680479486
91,songea,-10.6833,35.65,18.64,94,20,0.0,TZ,1680479486
92,the valley,18.217,-63.0578,26.08,78,40,6.69,AI,1680479487
93,priiskovyy,51.9333,116.6333,-7.8,86,50,6.56,RU,1680479487
94,muisne,0.6,-80.0333,26.29,80,66,1.33,EC,1680479488
95,fortuna,40.5982,-124.1573,9.81,81,99,2.68,US,1680479488
96,hovd,48.0056,91.6419,-13.6,40,74,2.22,MN,1680479488
97,tarakan,3.3,117.6333,25.72,89,20,3.09,ID,1680479488
98,at-bashi,41.1702,75.8106,-2.89,55,13,1.69,KG,1680479488
99,lavrentiya,65.5833,-171.0,-13.77,74,44,1.0,RU,1680479488
100,hay river,60.8156,-115.7999,-8.02,73,100,2.06,CA,1680479488
101,mogadishu,2.0371,45.3438,27.79,77,95,2.2,SO,1680479476
102,mironeasa,46.9667,27.4167,7.13,88,95,5.67,RO,1680479488
103,wairoa,-39.0333,177.3667,18.08,73,51,0.89,NZ,1680479489
104,ponta do sol,32.6667,-17.1,19.28,82,2,1.25,PT,1680479489
105,cayenne,4.9333,-52.3333,24.02,88,20,0.0,GF,1680479213
106,atar,20.5169,-13.0499,28.92,6,0,3.64,MR,1680479489
107,hambantota,6.1241,81.1185,23.19,100,20,0.51,LK,1680479489
108,dikson,73.5069,80.5464,-28.24,98,96,5.22,RU,1680479489
109,merauke,-8.4667,140.3333,28.6,73,97,1.63,ID,1680479490
110,camacha,33.0833,-16.3333,16.68,77,40,3.6,PT,1680479490
111,cidreira,-30.1811,-50.2056,20.47,65,9,3.22,BR,1680479490
112,great falls,47.5002,-111.3008,7.66,25,40,8.75,US,1680479430
113,ca mau,9.1769,105.15,26.58,73,14,0.94,VN,1680479490
114,east london,-33.0153,27.9116,22.89,70,100,1.37,ZA,1680479491
115,vestmannaeyjar,63.4427,-20.2734,5.55,93,100,11.32,IS,1680479491
116,leeton,-34.5667,146.4,19.94,50,0,4.72,AU,1680479491
117,dingle,10.9995,122.6711,26.98,71,100,3.41,PH,1680479491
118,carnarvon,-24.8667,113.6333,24.08,75,72,3.83,AU,1680479491
119,shizuishan,39.2333,106.7694,3.54,35,100,4.33,CN,1680479491
120,cabo san lucas,22.8909,-109.9124,28.12,62,75,4.12,MX,1680479491
121,bolilao,10.8833,122.7333,27.01,73,100,4.42,PH,1680479492
122,rocha,-34.4833,-54.3333,17.5,67,66,1.09,UY,1680479492
123,viedma,-40.8135,-62.9967,15.89,71,100,4.76,AR,1680479492
124,batagay,67.6333,134.6333,-10.65,86,100,3.38,RU,1680479492
125,kulhudhuffushi,6.6221,73.07,28.15,64,60,2.89,MV,1680479492
126,codrington,-38.2667,141.9667,15.88,62,0,2.57,AU,1680479492
127,ivanovka,42.8878,75.085,6.49,18,10,2.42,KG,1680479492
128,constitucion,-35.3333,-72.4167,14.27,73,11,6.35,CL,1680479492
129,san juan,-31.5375,-68.5364,23.74,44,0,1.24,AR,1680479212
130,bhatkal,13.9667,74.5667,23.24,84,33,2.73,IN,1680479493
131,torbay,47.6666,-52.7314,4.31,97,100,7.72,CA,1680479493
132,morgan city,29.6994,-91.2068,25.56,76,95,4.2,US,1680479493
133,tommot,58.9564,126.2925,-12.15,90,99,3.14,RU,1680479493
134,port hardy,50.6996,-127.4199,8.1,57,75,5.66,CA,1680479493
135,alappuzha,9.49,76.3264,25.97,81,66,2.44,IN,1680479493
136,vardo,70.3705,31.1107,-4.01,86,100,5.14,NO,1680479493
137,voh,-20.9667,164.7,31.77,54,10,1.36,NC,1680479493
138,broome,42.2506,-75.833,1.48,41,12,0.89,US,1680479494
139,roald,62.5833,6.1333,6.08,65,75,3.09,NO,1680479494
140,naantali,60.4674,22.0243,-2.16,64,0,2.06,FI,1680479494
141,launceston,-41.45,147.1667,15.45,78,42,5.14,AU,1680479494
